iter	Passed	Remaining
0	155	30890
1	158	15662
2	160	10565
3	164	8043
4	167	6519
5	170	5508
6	173	4775
7	176	4229
8	178	3795
9	181	3449
10	184	3167
11	187	2934
12	190	2736
13	192	2563
14	195	2412
15	198	2280
16	201	2164
17	203	2058
18	206	1964
19	209	1881
20	211	1803
21	214	1734
22	217	1671
23	220	1613
24	222	1558
25	225	1506
26	227	1459
27	230	1417
28	233	1376
29	235	1336
30	238	1299
31	241	1266
32	244	1236
33	246	1205
34	250	1180
35	253	1152
36	255	1127
37	259	1104
38	262	1081
39	264	1059
40	267	1039
41	271	1019
42	273	998
43	277	983
44	280	966
45	283	949
46	286	931
47	288	914
48	291	898
49	294	884
50	297	868
51	300	854
52	303	841
53	306	828
54	309	815
55	311	801
56	314	788
57	316	775
58	319	763
59	322	752
60	324	740
61	327	729
62	330	718
63	333	708
64	335	697
65	338	687
66	341	677
67	343	667
68	346	657
69	349	649
70	352	640
71	355	632
72	358	623
73	361	615
74	364	607
75	367	599
76	370	591
77	372	582
78	375	574
79	377	566
80	380	559
81	383	551
82	385	543
83	388	536
84	390	528
85	393	521
86	396	514
87	399	508
88	401	501
89	404	494
90	407	487
91	409	481
92	412	474
93	415	468
94	418	462
95	420	455
96	423	449
97	426	443
98	429	437
99	431	431
100	434	426
101	437	420
102	440	414
103	443	409
104	446	403
105	448	398
106	451	392
107	454	387
108	457	382
109	460	376
110	462	371
111	465	365
112	468	360
113	471	355
114	474	350
115	477	345
116	480	340
117	483	335
118	486	330
119	489	326
120	491	321
121	494	316
122	497	311
123	500	307
124	503	302
125	506	297
126	509	292
127	511	287
128	514	283
129	517	278
130	520	274
131	523	269
132	526	265
133	532	262
134	538	259
135	542	255
136	546	251
137	549	247
138	553	242
139	557	239
140	562	235
141	566	231
142	569	226
143	572	222
144	576	218
145	579	214
146	582	210
147	585	205
148	589	201
149	592	197
150	596	193
151	599	189
152	603	185
153	606	181
154	610	177
155	613	173
156	617	169
157	621	165
158	624	161
159	627	156
160	631	152
161	634	148
162	637	144
163	641	140
164	645	136
165	649	132
166	652	128
167	657	125
168	661	121
169	665	117
170	669	113
171	672	109
172	675	105
173	678	101
174	681	97
175	684	93
176	687	89
177	690	85
178	693	81
179	697	77
180	700	73
181	704	69
182	708	65
183	711	61
184	714	57
185	716	53
186	719	50
187	722	46
188	725	42
189	728	38
190	731	34
191	734	30
192	737	26
193	741	22
194	744	19
195	747	15
196	750	11
197	755	7
198	758	3
199	762	0
